day_label,date,activity,type,time_1,timezone_1_label,time_2,timezone_2_label
November 20,2025-11-20,Zoom Opens,activity,06:45,"Time (PT)",09:45,"Time (ET)"
November 20,2025-11-20,"Welcome (Regional Coordinator)",activity,07:00,"Time (PT)",10:00,"Time (ET)"
November 20,2025-11-20,Compute Setup: AWS Review (Zhibin Lu),activity,07:30,"Time (PT)",10:30,"Time (ET)"
November 20,2025-11-20,Module 1 Lecture: Microbial Genome Sequencing (Instructor: Jared Simpson),activity,08:00,"Time (PT)",11:00,"Time (ET)"
November 20,2025-11-20,Break (30min),break,09:00,"Time (PT)",12:00,"Time (ET)"
November 20,2025-11-20,Module 2 Lecture: Genome Assembly and Annotation (Gary van Domselaar),activity,09:30,"Time (PT)",12:30,"Time (ET)"
November 20,2025-11-20,Lunch (1 hr),break,10:30,"Time (PT)",13:30,"Time (ET)"
November 20,2025-11-20,Module 2 Lab: Genome Assembly and Annotation (Gary van Domselaar),activity,11:30,"Time (PT)",14:30,"Time (ET)"
November 20,2025-11-20,Break (30min),break,12:30,"Time (PT)",15:30,"Time (ET)"
November 20,2025-11-20,(contd) Module 2 Lab: Genome Assembly and Annotation (Gary van Domselaar),activity,13:00,"Time (PT)",16:00,"Time (ET)"
November 20,2025-11-20,"Finished",break,14:00,"Time (PT)",17:00,"Time (ET)"
November 21,2025-11-21,Join Zoom Link,activity,06:45,"Time (PT)",09:45,"Time (ET)"
November 21,2025-11-21,Module 3 Lecture: Mobile Genetic Elements (Instructor: Rob Beiko),activity,07:00,"Time (PT)",10:00,"Time (ET)"
November 21,2025-11-21,Module 3 Lab: Mobile Genetic Elements (Instructor: Rob Beiko,activity,08:00,"Time (PT)",11:00,"Time (ET)"
November 21,2025-11-21,Break (30 mins),break,09:00,"Time (PT)",12:00,"Time (ET)"
November 21,2025-11-21,Module 4 Lecture:  Antimicrobial Resistant Gene (AMR) Analysis (Instructor: Andrew McArthur),activity,09:30,"Time (PT)",12:30,"Time (ET)"
November 21,2025-11-21,Lunch (1 hr),break,10:30,"Time (PT)",13:30,"Time (ET)"
November 21,2025-11-21,Module 4 Lab:  Antimicrobial Resistant Gene (AMR) Analysis (Instructor: Andrew McArthur),activity,11:30,"Time (PT)",14:30,"Time (ET)"
November 21,2025-11-21,Break (30 mins),break,12:30,"Time (PT)",15:30,"Time (ET)"
November 21,2025-11-21,(contd) Module 4 Lab:  Antimicrobial Resistant Gene (AMR) Analysis (Instructor: Andrew McArthur),activity,13:00,"Time (PT)",16:00,"Time (ET)"
November 21,2025-11-21,"Finished",break,13:30,"Time (PT)",16:30,"Time (ET)"
November 22,2025-11-22,Zoom Opens,activity,07:45,"Time (PT)",10:45,"Time (ET)"
November 22,2025-11-22,Module 5 Lecture: Pan-genomics (Instructor: William Hsiao,activity,08:00,"Time (PT)",11:00,"Time (ET)"
November 22,2025-11-22,Module 5 Lab: Pan-genomics (Instructor: Jimmy Liu),activity,09:00,"Time (PT)",12:00,"Time (ET)"
November 22,2025-11-22,Lunch (1hr),break,10:00,"Time (PT)",13:00,"Time (ET)"
November 22,2025-11-22,Module 6 Lecture : Phylogenetics (Instructor: Fiona Brinkman),activity,11:00,"Time (PT)",14:00,"Time (ET)"
November 22,2025-11-22,Break (30 mins),break,12:00,"Time (PT)",15:00,"Time (ET)"
November 22,2025-11-22,Module 6 Lab : Phylogenetics (Instructor: Fiona Brinkman),activity,12:30,"Time (PT)",15:30,"Time (ET)"
November 22,2025-11-22,Survey & Closing Remarks,activity,13:30,"Time (PT)",16:30,"Time (ET)"
November 22,2025-11-22,Finished,break,14:00,"Time (PT)",17:00,"Time (ET)"
